# t = 1
# W = 300
# L = 100
# xic = 1.1516471649044517
# plate_distance = 18.426354638471228
# E_dis = 0.00037699111843077514
# E_img = 2.170803763674803
# omB0 = 0.37699111843077515
# iter_dis = 1
# Ncore = 5
arrE G0 GIMG
1.1309733552923253 5.9999972364844005 5.999996142511365
1.1318340656083774 5.9999966515797984 5.9999962869028405
1.1326947759244295 5.999995960831764 5.999996612794098
1.1335554862404813 5.999995273179497 5.999997057236635
1.1344161965565334 5.999994682954169 5.999997523122014
1.1352769068725854 5.999994259491635 5.99999789442367
1.1361376171886375 5.9999940363888555 5.999998053231949
1.1369983275046895 5.99999399881801 5.999997896155097
1.1378590378207414 5.999994064916658 5.999997347404534
1.1387197481367934 5.999994055303704 5.99999636520411
1.1395804584528455 5.999993660350973 5.999994935190425
1.1404411687688973 5.999992510164429 5.999993028780547
1.1413018790849494 5.999990446352936 5.999990367872912
1.1421625894010015 5.999990383446904 5.999991218461237
1.1430232997170533 5.999991743567703 5.999995018133818
1.1438840100331054 5.999992448220283 5.999996793909999
1.1447447203491574 5.999993201652852 5.999997641131612
1.1456054306652095 5.999994050988657 5.999997900895045
1.1464661409812615 5.99999493283984 5.999997787860498
1.1473268512973134 5.999995755624906 5.999997472680693
1.1481875616133654 5.999996426834829 5.999997096121916
1.1490482719294175 5.999996876935869 5.9999967679990585
1.1499089822454693 5.999997097235073 5.999996563450286
1.1507696925615214 5.999997135874905 5.999996520654037
1.1516304028775735 5.999997011570593 5.99999664142824
1.1524911131936253 5.999996686641375 5.999996894976618
1.1533518235096774 5.999996130798153 5.999997224374208
1.1542125338257294 5.999995372839655 5.999997554950025
1.1550732441417815 5.999994550042543 5.999997803409422
1.1559339544578335 5.999993928073102 5.999997886260736
1.1567946647738854 5.999993660961163 5.999997725641681
1.1576553750899374 5.999993564846255 5.999997249306678
1.1585160854059895 5.999993417042536 5.999996376468092
1.1593767957220413 5.999993079350582 5.999994955092441
1.1602375060380934 5.9999921135070435 5.999992338813217
1.1610982163541452 5.999992623223432 5.999992403560833
1.1619589266701973 5.999993888840123 5.999994681081283
1.1628196369862493 5.999993749501707 5.999995938002083
1.1636803473023014 5.9999937065977145 5.999996727303778
1.1645410576183535 5.999994001547747 5.999997205126705
1.1654017679344053 5.999994147467955 5.999997462936372
1.1662624782504574 5.99999468646214 5.99999757272164
1.1671231885665094 5.9999952571707516 5.999997595634457
1.1679838988825615 5.999995934625143 5.999997581864028
1.1688446091986133 5.99999652967446 5.999997568473496
1.1697053195146654 5.99999710155022 5.999997577491592
1.1705660298307172 5.999997468021048 5.999997615162688
1.1714267401467693 5.999997589875903 5.999997672650553
