# t = 1
# W = 300
# L = 100
# xic = 1.1516471649044517
# plate_distance = 18.426354638471228
# E_dis = 0.00037699111843077514
# E_img = 1.0854018818374016
# omB0 = 0.37699111843077515
# iter_dis = 1
# Ncore = 5
arrE G0 GIMG
1.1309733552923253 5.9999972451332475 5.999997244571429
1.1318340656083774 5.999996662462569 5.999997251277846
1.1326947759244295 5.999995972198348 5.999997101733644
1.1335554862404813 5.999995283268206 5.999996829123929
1.1344161965565334 5.999994690205572 5.999996481968663
1.1352769068725854 5.999994262743483 5.999996117400629
1.1361376171886375 5.99999403504566 5.999995792392491
1.1369983275046895 5.99999399300016 5.999995553330409
1.1378590378207414 5.999994055609049 5.999995423828174
1.1387197481367934 5.999994044533469 5.999995389164317
1.1395804584528455 5.999993651299483 5.999995370685719
1.1404411687688973 5.999992506636722 5.999995161332441
1.1413018790849494 5.999990452356381 5.999994118464895
1.1421625894010015 5.99999040981498 5.999992049662974
1.1430232997170533 5.999991763481725 5.999993131142301
1.1438840100331054 5.999992460468795 5.999993676806864
1.1447447203491574 5.999993206784792 5.999994209831041
1.1456054306652095 5.999994050366542 5.999994820735396
1.1464661409812615 5.9999949282502385 5.999995502029193
1.1473268512973134 5.999995749017133 5.999996207190236
1.1481875616133654 5.999996420115068 5.999996874133887
1.1490482719294175 5.999996871703964 5.999997439155461
1.1499089822454693 5.999997094451982 5.999997846785556
1.1507696925615214 5.999997135944959 5.99999805691838
1.1516304028775735 5.999997014777599 5.999998049516372
1.1524911131936253 5.999996693117173 5.999997826932353
1.1533518235096774 5.99999614023996 5.999997413877369
1.1542125338257294 5.999995384255856 5.999996855127299
1.1550732441417815 5.999994561329283 5.999996211125031
1.1559339544578335 5.9999939363862085 5.999995551626723
1.1567946647738854 5.999993665182196 5.99999494734693
1.1576553750899374 5.999993565573796 5.999994458814899
1.1585160854059895 5.999993414301544 5.999994119018089
1.1593767957220413 5.999993072762444 5.999993894464176
1.1602375060380934 5.9999921029973855 5.999993512040732
1.1610982163541452 5.999992626304278 5.99999402844005
1.1619589266701973 5.999993900506629 5.999995302045383
1.1628196369862493 5.999993766107703 5.999995484667916
1.1636803473023014 5.9999937201516715 5.999995459607165
1.1645410576183535 5.9999940145129305 5.999995454532213
1.1654017679344053 5.9999941588053005 5.99999555766992
1.1662624782504574 5.999994691654379 5.999995794687978
1.1671231885665094 5.999995261735873 5.9999961544538545
1.1679838988825615 5.999995933905236 5.9999966021126925
1.1688446091986133 5.999996528757069 5.999997087981999
1.1697053195146654 5.999997100349583 5.999997554698511
1.1705660298307172 5.99999746680154 5.999997943321931
1.1714267401467693 5.999997591616095 5.999998198497119
1.1722874504628213 5.999997463345884 5.999998272548609
1.1731481607788734 5.999997013870681 5.999998128293688
1.1740088710949255 6.999978408823915 5.9999977403337885
1.1748695814109773 6.999891439145717 5.9999970945742165
1.1757302917270294 6.9999255202259905 5.999996185690977
1.1765910020430814 6.999858596837013 5.999995012029935
1.1774517123591333 6.999932900808297 5.999993565607331
1.1783124226751853 6.999945944947605 5.99999179873966
1.1791731329912374 6.999770381174977 5.999989266704701
1.1800338433072892 6.999938993850047 5.9999909011885455
1.1808945536233413 6.999855676745977 5.999995660866235
1.1817552639393933 6.999924866870757 5.999996868079635
1.1826159742554454 6.99989966748704 5.9999972970201885
1.1834766845714975 6.9999903886873165 5.999997344079816
1.1843373948875493 6.999925789371814 6.024341352860807
1.1851981052036014 6.999917591521553 6.251892083645012
1.1860588155196534 6.999973534163453 6.541960182906802
1.1869195258357053 6.999958266635003 6.6518514884558195
1.1877802361517573 6.999947227836712 6.759906495370417
1.1886409464678092 6.999974873525736 6.813205541963767
1.1895016567838612 6.999969120889756 6.864930313571401
1.1903623670999133 6.99993692990838 6.923520058910515
1.1912230774159653 6.999944338701085 6.985706351528832
1.1920837877320174 6.999983597995934 6.987106225511924
1.1929444980480692 6.999993295101214 6.961038772508941
