# Data file for U(x)
# mu = 29.688181576728365
# omB = 12.32
# Columns:
# 1) x
# 2) U(x)
# 
-5.99940000e+03 2.29222737e+05
-5.99789996e+03 2.15623812e+05
-5.99639992e+03 2.06454564e+05
-5.99489989e+03 1.98964849e+05
-5.99339985e+03 1.92427850e+05
-5.99189981e+03 1.86520436e+05
-5.99039977e+03 1.81064744e+05
-5.98889974e+03 1.75950137e+05
-5.98739970e+03 1.71102017e+05
-5.98589966e+03 1.66467089e+05
-5.98439962e+03 1.62005545e+05
-5.98289959e+03 1.57686566e+05
-5.98139955e+03 1.53485560e+05
-5.97989951e+03 1.49382374e+05
-5.97839947e+03 1.45360097e+05
-5.97689944e+03 1.41404213e+05
-5.97539940e+03 1.37501997e+05
-5.97389936e+03 1.33642058e+05
-5.97239932e+03 1.29813987e+05
-5.97089929e+03 1.26008074e+05
-5.96939925e+03 1.22215072e+05
-5.96789921e+03 1.18425986e+05
-5.96639917e+03 1.14631885e+05
-5.96489914e+03 1.10823716e+05
-5.96339910e+03 1.06992109e+05
-5.96189906e+03 1.03127182e+05
-5.96039902e+03 9.92183215e+04
-5.95889899e+03 9.52539605e+04
-5.95739895e+03 9.12213689e+04
-5.95589891e+03 8.71065368e+04
-5.95439887e+03 8.28943362e+04
-5.95289884e+03 7.85694062e+04
-5.95139880e+03 7.41187749e+04
-5.94989876e+03 6.95384873e+04
-5.94839872e+03 6.48492062e+04
-5.94689869e+03 6.01313564e+04
-5.94539865e+03 5.56010076e+04
-5.94389861e+03 5.17631692e+04
-5.94239857e+03 4.96754432e+04
-5.94089854e+03 5.11614361e+04
-5.93939850e+03 5.77201548e+04
-5.93789846e+03 6.62456992e+04
-5.93639842e+03 7.06633903e+04
-5.93489839e+03 6.96193456e+04
-5.93339835e+03 6.48128826e+04
-5.93189831e+03 5.81840543e+04
-5.93039827e+03 5.11373740e+04
-5.92889824e+03 4.45214836e+04
-5.92739820e+03 3.87640854e+04
-5.92589816e+03 3.40104474e+04
-5.92439812e+03 3.02343518e+04
-5.92289809e+03 2.73186832e+04
-5.92139805e+03 2.51097419e+04
-5.91989801e+03 2.34509396e+04
-5.91839797e+03 2.22014115e+04
-5.91689794e+03 2.12443117e+04
-5.91539790e+03 2.04885735e+04
-5.91389786e+03 1.98669401e+04
-5.91239782e+03 1.93322084e+04
-5.91089779e+03 1.88529446e+04
-5.90939775e+03 1.84094087e+04
-5.90789771e+03 1.79900579e+04
-5.90639767e+03 1.75887641e+04
-5.90489764e+03 1.72027320e+04
-5.90339760e+03 1.68310304e+04
-5.90189756e+03 1.64736195e+04
-5.90039752e+03 1.61307520e+04
-5.89889749e+03 1.58026417e+04
-5.89739745e+03 1.54893098e+04
-5.89589741e+03 1.51905422e+04
-5.89439737e+03 1.49059085e+04
-5.89289734e+03 1.46348096e+04
-5.89139730e+03 1.43765340e+04
-5.88989726e+03 1.41303097e+04
-5.88839722e+03 1.38953474e+04
-5.88689719e+03 1.36708727e+04
-5.88539715e+03 1.34561476e+04
-5.88389711e+03 1.32504831e+04
-5.88239707e+03 1.30532453e+04
-5.88089704e+03 1.28638565e+04
-5.87939700e+03 1.26817926e+04
-5.87789696e+03 1.25065797e+04
-5.87639692e+03 1.23377886e+04
-5.87489689e+03 1.21750304e+04
-5.87339685e+03 1.20179512e+04
-5.87189681e+03 1.18662279e+04
-5.87039677e+03 1.17195642e+04
-5.86889674e+03 1.15776876e+04
-5.86739670e+03 1.14403464e+04
-5.86589666e+03 1.13073074e+04
-5.86439662e+03 1.11783539e+04
-5.86289659e+03 1.10532841e+04
-5.86139655e+03 1.09319099e+04
-5.85989651e+03 1.08140553e+04
-5.85839647e+03 1.06995559e+04
-5.85689644e+03 1.05882573e+04
-5.85539640e+03 1.04800148e+04
-5.85389636e+03 1.03746927e+04
-5.85239632e+03 1.02721631e+04
-5.85089629e+03 1.01723061e+04
-5.84939625e+03 1.00750083e+04
-5.84789621e+03 9.98016323e+03
-5.84639617e+03 9.88767022e+03
-5.84489614e+03 9.79743426e+03
-5.84339610e+03 9.70936555e+03
-5.84189606e+03 9.62337916e+03
-5.84039602e+03 9.53939470e+03
-5.83889599e+03 9.45733596e+03
-5.83739595e+03 9.37713071e+03
-5.83589591e+03 9.29871041e+03
-5.83439587e+03 9.22200993e+03
-5.83289584e+03 9.14696742e+03
-5.83139580e+03 9.07352401e+03
-5.82989576e+03 9.00162371e+03
-5.82839572e+03 8.93121319e+03
-5.82689569e+03 8.86224160e+03
-5.82539565e+03 8.79466048e+03
-5.82389561e+03 8.72842359e+03
-5.82239557e+03 8.66348676e+03
-5.82089554e+03 8.59980782e+03
-5.81939550e+03 8.53734644e+03
-5.81789546e+03 8.47606407e+03
-5.81639542e+03 8.41592381e+03
-5.81489539e+03 8.35689032e+03
-5.81339535e+03 8.29892978e+03
-5.81189531e+03 8.24200975e+03
-5.81039527e+03 8.18609913e+03
-5.80889524e+03 8.13116809e+03
-5.80739520e+03 8.07718802e+03
-5.80589516e+03 8.02413140e+03
-5.80439512e+03 7.97197185e+03
-5.80289509e+03 7.92068397e+03
-5.80139505e+03 7.87024338e+03
-5.79989501e+03 7.82062660e+03
-5.79839497e+03 7.77181104e+03
-5.79689494e+03 7.72377497e+03
-5.79539490e+03 7.67649746e+03
-5.79389486e+03 7.62995833e+03
-5.79239482e+03 7.58413815e+03
-5.79089479e+03 7.53901818e+03
-5.78939475e+03 7.49458034e+03
-5.78789471e+03 7.45080720e+03
-5.78639467e+03 7.40768194e+03
-5.78489464e+03 7.36518829e+03
-5.78339460e+03 7.32331059e+03
-5.78189456e+03 7.28203365e+03
-5.78039452e+03 7.24134284e+03
-5.77889449e+03 7.20122400e+03
-5.77739445e+03 7.16166343e+03
-5.77589441e+03 7.12264789e+03
-5.77439437e+03 7.08416455e+03
-5.77289434e+03 7.04620102e+03
-5.77139430e+03 7.00874528e+03
-5.76989426e+03 6.97178571e+03
-5.76839422e+03 6.93531103e+03
-5.76689419e+03 6.89931035e+03
-5.76539415e+03 6.86377306e+03
-5.76389411e+03 6.82868893e+03
-5.76239407e+03 6.79404799e+03
-5.76089404e+03 6.75984061e+03
-5.75939400e+03 6.72605743e+03
-5.75789396e+03 6.69268936e+03
-5.75639392e+03 6.65972758e+03
-5.75489389e+03 6.62716355e+03
-5.75339385e+03 6.59498893e+03
-5.75189381e+03 6.56319567e+03
-5.75039377e+03 6.53177591e+03
-5.74889374e+03 6.50072203e+03
-5.74739370e+03 6.47002662e+03
-5.74589366e+03 6.43968248e+03
-5.74439362e+03 6.40968260e+03
-5.74289359e+03 6.38002016e+03
-5.74139355e+03 6.35068854e+03
-5.73989351e+03 6.32168129e+03
-5.73839347e+03 6.29299213e+03
