# t = 1
# W = 160
# L = 80
# alpha0 = 0.005
# xic = 2.8209479177387813
# plate_distance = 56.418958354775626
# E_dis = 0.0012566370614359175
# E_img = 35.44907701811032
# omB0 = 0.06283185307179587
# Zeeman0 = 0.020943951023931956
# T = 0.0007853981633974483
# Nelect_0 = 621.7695000000001
# Nelect_img = 131.8905
# iter_dis = 1
# Ncore = 5
alpha EF0 EFimg
0.005 0.3210985262404026 0.31050038234877436
0.005080808080808081 0.31262001112710003 0.31827235453596836
0.005161616161616161 0.30767421064434014 0.31615272575764275
0.005242424242424243 0.30767421064434014 0.3083807535704487
0.0053232323232323235 0.3097938394226658 0.31615272575764275
0.005404040404040404 0.3140330969793171 0.30908729649655725
0.005484848484848485 0.31332655405320853 0.31827235453596836
0.005565656565656565 0.31756581160985986 0.3097938394226658
0.005646464646464647 0.320391983314294 0.31615272575764275
0.0057272727272727275 0.3119134682009914 0.3097938394226658
0.005808080808080808 0.31473963990542564 0.31968544038818547
0.005888888888888889 0.31685926868375125 0.3140330969793171
0.00596969696969697 0.31615272575764275 0.3027284101615803
0.006050505050505051 0.3083807535704487 0.31756581160985986
0.006131313131313132 0.32180506916651114 0.31615272575764275
0.006212121212121212 0.3112069252748829 0.31685926868375125
0.006292929292929293 0.3083807535704487 0.31050038234877436
0.0063737373737373735 0.3189788974620769 0.31332655405320853
0.006454545454545455 0.3119134682009914 0.31050038234877436
0.006535353535353536 0.30131532430936325 0.3154461828315342
0.006616161616161616 0.30767421064434014 0.304848038939906
0.006696969696969697 0.3083807535704487 0.3112069252748829
0.006777777777777778 0.3112069252748829 0.31262001112710003
0.006858585858585859 0.3097938394226658 0.3083807535704487
0.00693939393939394 0.3097938394226658 0.3140330969793171
0.00702020202020202 0.31332655405320853 0.31685926868375125
0.007101010101010101 0.31615272575764275 0.3112069252748829
0.007181818181818182 0.31615272575764275 0.3154461828315342
0.007262626262626262 0.3225116120926197 0.3097938394226658
0.007343434343434344 0.3119134682009914 0.31473963990542564
0.007424242424242424 0.3083807535704487 0.3140330969793171
0.007505050505050506 0.3112069252748829 0.3119134682009914
0.0075858585858585865 0.3140330969793171 0.31685926868375125
0.007666666666666667 0.3154461828315342 0.31262001112710003
0.007747474747474748 0.31756581160985986 0.30908729649655725
0.007828282828282828 0.31756581160985986 0.3189788974620769
0.007909090909090909 0.320391983314294 0.3119134682009914
0.00798989898989899 0.32392469794483675 0.3119134682009914
0.00807070707070707 0.3274574125753795 0.31685926868375125
0.008151515151515153 0.3189788974620769 0.31756581160985986
0.008232323232323233 0.3288704984275966 0.3119134682009914
0.008313131313131314 0.3140330969793171 0.31756581160985986
0.008393939393939395 0.304848038939906 0.31615272575764275
0.008474747474747475 0.3246312408709453 0.31615272575764275
0.008555555555555556 0.3062611247921231 0.31262001112710003
0.008636363636363636 0.3097938394226658 0.3119134682009914
0.008717171717171717 0.3027284101615803 0.31332655405320853
0.008797979797979798 0.3027284101615803 0.3112069252748829
0.008878787878787878 0.30131532430936325 0.31615272575764275
0.008959595959595959 0.30131532430936325 0.31473963990542564
0.00904040404040404 0.29990223845714614 0.31473963990542564
0.00912121212121212 0.304848038939906 0.31685926868375125
0.009202020202020203 0.30343495308768886 0.3154461828315342
0.009282828282828283 0.30555458186601453 0.32392469794483675
0.009363636363636364 0.3083807535704487 0.31332655405320853
0.009444444444444445 0.3112069252748829 0.3119134682009914
0.009525252525252525 0.31262001112710003 0.31615272575764275
0.009606060606060608 0.31473963990542564 0.31756581160985986
0.009686868686868688 0.3140330969793171 0.31968544038818547
0.009767676767676769 0.31827235453596836 0.31756581160985986
0.00984848484848485 0.3210985262404026 0.320391983314294
0.00992929292929293 0.3069676677182316 0.31827235453596836
0.01001010101010101 0.3119134682009914 0.3140330969793171
0.010090909090909091 0.31685926868375125 0.3112069252748829
0.010171717171717172 0.31968544038818547 0.31968544038818547
0.010252525252525253 0.320391983314294 0.3140330969793171
0.010333333333333333 0.31968544038818547 0.3112069252748829
0.010414141414141414 0.30767421064434014 0.30908729649655725
0.010494949494949495 0.30908729649655725 0.31332655405320853
0.010575757575757575 0.30555458186601453 0.3154461828315342
0.010656565656565656 0.30767421064434014 0.3189788974620769
0.010737373737373736 0.31050038234877436 0.3140330969793171
0.010818181818181819 0.31332655405320853 0.3140330969793171
0.0108989898989899 0.31262001112710003 0.31050038234877436
0.01097979797979798 0.31685926868375125 0.31968544038818547
0.01106060606060606 0.31827235453596836 0.3112069252748829
0.011141414141414141 0.3189788974620769 0.31262001112710003
0.011222222222222224 0.3210985262404026 0.31262001112710003
0.011303030303030304 0.3232181550187282 0.30908729649655725
0.011383838383838385 0.3260443267231624 0.3112069252748829
0.011464646464646466 0.32675086964927097 0.31332655405320853
0.011545454545454546 0.328163955501488 0.3154461828315342
0.011626262626262627 0.32957704135370514 0.3140330969793171
0.011707070707070708 0.33240321305813936 0.31756581160985986
0.011787878787878788 0.33381629891035647 0.31615272575764275
0.011868686868686869 0.33310975598424786 0.3225116120926197
0.01194949494949495 0.33452284183646497 0.31332655405320853
0.01203030303030303 0.3380555564670077 0.3119134682009914
0.01211111111111111 0.34158827109755047 0.3154461828315342
0.012191919191919191 0.3430013569497675 0.31756581160985986
0.012272727272727272 0.3288704984275966 0.30908729649655725
0.012353535353535353 0.320391983314294 0.31685926868375125
0.012434343434343435 0.3408817281714419 0.31262001112710003
0.012515151515151516 0.3041414960137974 0.31050038234877436
0.012595959595959596 0.31685926868375125 0.3097938394226658
0.012676767676767677 0.31473963990542564 0.3189788974620769
0.01275757575757576 0.3189788974620769 0.31332655405320853
0.01283838383838384 0.3027284101615803 0.31473963990542564
0.01291919191919192 0.28577137993497514 0.3189788974620769
0.013000000000000001 0.2921302662699521 0.3119134682009914
