# t = 1
# W = 200
# L = 200
# alpha0 = 0.003
# xic = 3.641828101973597
# plate_distance = 72.83656203947194
# E_dis = 0.0011309733552923255
# E_img = 27.458736985913067
# omB0 = 0.03769911184307752
# Zeeman0 = 0.012566370614359173
# T = 0.00047123889803846896
# Nelect_0 = 1188.03
# Nelect_img = 237.606
# iter_dis = 1
# Ncore = 50
alpha G0 GIMG
0.003 10.03103629327508 7.061113809421668
0.003033444816053512 10.006872526031374 6.755099929007986
0.0030668896321070236 9.999232259571658 6.721206154103636
0.0031003344481605353 9.998813499985657 6.660411788550527
0.003133779264214047 9.996118535978765 6.640966709478358
0.003167224080267559 9.998672473272121 6.780865648305066
0.00320066889632107 9.972393361915856 6.6594233614832365
0.003234113712374582 9.843775054167756 6.318099698876449
0.0032675585284280937 9.332898266861513 5.969986303399866
0.0033010033444816054 9.373296455801444 6.646715204987248
0.003334448160535117 9.143942837528948 6.107524173204181
0.003367892976588629 8.999082964073871 5.981543595956938
0.0034013377926421407 8.998936419111768 6.274906512766685
0.0034347826086956524 8.998488745838559 5.976637136277887
0.003468227424749164 8.998351734599161 5.976758485802182
0.0035016722408026755 8.96783553626625 5.96939188334363
0.0035351170568561872 8.552316326993058 5.964840611447264
0.003568561872909699 8.639316767321295 5.955304002323788
0.0036020066889632107 8.608065429446494 5.95491665757975
0.0036354515050167225 8.354206642453839 5.958202712799784
0.0036688963210702343 8.098015183274903 5.954774763160405
0.003702341137123746 8.079627337190546 5.955275337113928
0.0037357859531772578 7.999192492997367 5.945876360045393
0.0037692307692307695 8.024634246379277 5.959918769557416
0.0038026755852842813 7.999372414083255 5.928124547358844
0.003836120401337793 7.999494009288514 5.912652741439218
0.0038695652173913048 7.999355783175229 5.906018377746976
0.0039030100334448165 7.999253316739402 5.91143036944794
0.003936454849498328 7.993678440683876 5.916703197699578
0.00396989966555184 7.918237254278011 5.907902295536963
0.004003344481605352 7.720294720462323 5.92800091143756
0.0040367892976588635 7.972759412787335 5.922268929527361
0.004070234113712375 7.758851298050028 5.87797401849058
0.004103678929765887 7.809876017508216 5.885581056907266
0.004137123745819399 7.4503212049043865 5.891625715682057
0.00417056856187291 7.305231287612127 5.859239834426283
0.004204013377926421 7.376648342473958 5.7719970089863395
0.004237458193979933 7.398918122516903 5.801275690445286
0.004270903010033445 7.127728827579545 5.748081795647212
0.004304347826086957 7.066128743803418 5.660170153666628
0.0043377926421404684 6.999151232782539 5.6702499430656506
0.00437123745819398 6.999164585583015 5.730646850155902
0.004404682274247492 6.998232057723374 5.60256647934748
0.004438127090301004 6.949171723384678 5.763962819732198
0.0044715719063545155 6.999273420233899 5.677078420750015
0.004505016722408027 6.977952951641654 5.6385861328426135
0.004538461538461539 6.90553133801065 5.241942036850455
0.004571906354515051 6.948407919136255 5.454422224751595
0.0046053511705685625 6.933235506536022 5.1477397131243965
0.004638795986622074 6.855642701719326 5.349900983895267
0.004672240802675586 6.702171185287808 4.939791803289823
0.004705685618729097 6.677075970855067 4.929235518026074
0.004739130434782609 6.4108438637585206 4.9035585032470355
0.00477257525083612 6.207192204795468 4.9281083795118485
0.004806020066889632 6.391838379853044 4.909220547101757
0.004839464882943144 6.193271922226475 4.9138696890172
0.004872909698996656 6.130732967833367 4.8918622408550805
0.004906354515050167 6.098639705324648 4.906061753752048
0.004939799331103679 6.0746126217048975 4.8825478996485
0.004973244147157191 6.030552057558762 4.880811646713126
0.005006688963210703 5.9997391643764635 4.8331674621103975
0.005040133779264214 5.999759270080528 4.7801015614098805
0.005073578595317726 5.999774890611504 4.825766065820172
0.005107023411371238 5.999606733511309 4.759885560559736
0.00514046822742475 5.999458756114457 4.767278774838882
0.005173913043478261 5.999486295682512 4.728043331945631
0.005207357859531773 5.9992784998732525 4.7204488183378785
0.005240802675585285 5.999334512806021 4.7273716283036595
0.005274247491638797 5.995811060175653 4.70346683991308
0.005307692307692308 5.989295573340813 4.426269149448267
0.00534113712374582 5.97924443347017 4.6198846448493285
0.005374581939799332 5.930473445362039 4.625197946102178
