# t = 1
# W = 300
# L = 100
# xic = 1.1516471649044517
# plate_distance = 18.426354638471228
# E_dis = 0.015079644737231007
# E_img = 1.0854018818374016
# omB0 = 0.37699111843077515
# iter_dis = 1
# Ncore = 5
arrE G0 GIMG
1.1309733552923253 5.999997179749834 5.999997228375495
1.1318340656083774 5.999996579557521 5.999997208627987
1.1326947759244295 5.999995879739931 5.999997031473279
1.1335554862404813 5.9999951912875975 5.9999967350707175
1.1344161965565334 5.999994609455875 5.999996372469581
1.1352769068725854 5.999994203227444 5.999996004276819
1.1361376171886375 5.9999940043442175 5.99999568933664
1.1369983275046895 5.9999939940492615 5.999995473868789
1.1378590378207414 5.999994082899956 5.999995378942825
1.1387197481367934 5.99999407676832 5.999995384613778
1.1395804584528455 5.999993639889935 5.999995403780802
1.1404411687688973 5.99999237426737 5.999995215871114
1.1413018790849494 5.99999014345371 5.999994149355695
1.1421625894010015 5.999990128845046 5.999991870897952
1.1430232997170533 5.999991584918219 5.999992924630523
1.1438840100331054 5.9999923505093316 5.999993484470894
1.1447447203491574 5.999993152910183 5.999994052525127
1.1456054306652095 5.999994041143816 5.999994708135632
1.1464661409812615 5.999994950872229 5.999995435280578
1.1473268512973134 5.999995788286781 5.999996180754896
1.1481875616133654 5.999996456923596 5.999996877640739
1.1490482719294175 5.999996883181856 5.999997459348263
1.1499089822454693 5.999997061012895 5.999997869492825
1.1507696925615214 5.999997051916687 5.999998068926661
1.1516304028775735 5.999996888530378 5.999998040205421
1.1524911131936253 5.999996537824502 5.999997789559894
1.1533518235096774 5.999995969439478 5.999997346416603
1.1542125338257294 5.999995215786667 5.999996760595481
1.1550732441417815 5.99999442329747 5.999996097377866
1.1559339544578335 5.999993857245061 5.999995430620688
1.1567946647738854 5.999993647468917 5.999994833895418
1.1576553750899374 5.999993596609729 5.999994368857491
1.1585160854059895 5.999993489827639 5.999994067362396
1.1593767957220413 5.9999931873591095 5.99999389175052
1.1602375060380934 5.999992196542512 5.99999356089363
1.1610982163541452 5.999992412246999 5.999993942905593
1.1619589266701973 5.999993601535459 5.999995180081026
1.1628196369862493 5.99999345570817 5.999995343612839
1.1636803473023014 5.999993494694106 5.9999953173830045
1.1645410576183535 5.999993828531662 5.999995325820296
1.1654017679344053 5.999994037953224 5.999995453039561
1.1662624782504574 5.9999946863285585 5.999995720150273
1.1671231885665094 5.999995291064497 5.99999611138022
1.1679838988825615 5.9999960658753775 5.999996587507462
1.1688446091986133 5.999996691647068 5.99999709507446
1.1697053195146654 5.999997255552282 5.999997573806569
1.1705660298307172 6.000006391985227 5.999997962923243
1.1714267401467693 6.2123274296360185 5.999998206436666
1.1722874504628213 6.507130079804514 5.999998257321637
1.1731481607788734 7.037659635313943 5.999998080359741
1.1740088710949255 7.049103936749372 5.99999765347745
1.1748695814109773 7.074360153080716 5.999996967434753
1.1757302917270294 7.005738805676109 5.999996023810611
1.1765910020430814 6.999929552581079 5.999994831190417
1.1774517123591333 6.999952778635877 5.999993397870432
1.1783124226751853 6.999909799992264 5.999991702895098
1.1791731329912374 6.999753125190942 5.999989346202167
1.1800338433072892 6.999956252629527 5.99999124238714
1.1808945536233413 6.999838653092019 5.999995697485135
1.1817552639393933 6.9999269916625435 5.999996837968258
1.1826159742554454 6.999894639729289 5.9999972138637245
1.1834766845714975 6.999989280141267 5.999997348204988
1.1843373948875493 6.9999260486240376 6.013280142220371
1.1851981052036014 6.999913444049652 6.003205196351737
1.1860588155196534 6.999972233465449 6.047032943212378
1.1869195258357053 6.999957729352431 6.371830176778542
1.1877802361517573 6.999946217681027 6.0392736113018
1.1886409464678092 6.999974269488292 6.210596922359144
1.1895016567838612 6.99996748892658 6.788046144427163
1.1903623670999133 6.999934972683968 6.525596196984577
1.1912230774159653 6.999944483884113 6.649810017844789
1.1920837877320174 6.999984809633436 6.746198256498919
1.1929444980480692 6.999992569630455 6.729533003270736
1.1938052083641213 6.999960279860816 6.987683014099358
1.1946659186801734 6.999937625084033 6.894017353738811
1.1955266289962254 6.999949320443822 6.905975597389744
1.1963873393122773 6.999965006755806 6.932645768379765
1.1972480496283293 6.999951592112496 6.995599336421012
1.1981087599443812 6.9999211397432655 6.998930851894901
1.1989694702604332 6.999921995505413 6.9948059102687665
1.1998301805764853 6.999960119373089 6.998857123474984
1.2006908908925373 6.999947778564632 6.998729597753315
1.2015516012085894 6.999932215371778 6.999461669515522
1.2024123115246412 6.999942048895874 6.9995546034576135
1.2032730218406933 6.9999702007915205 6.999474783359668
1.2041337321567454 6.9999933423398755 6.999805863545925
1.2049944424727974 6.999996453227194 6.999836640570742
1.2058551527888492 6.9999830153097315 6.999704217755302
1.2067158631049013 6.999967729366307 6.999895345732913
1.2075765734209531 6.999962659808179 6.999732734325898
1.2084372837370052 6.999969079495515 6.999953839594975
1.2092979940530573 6.999979396634681 6.999829880175437
1.2101587043691093 6.999985043611646 6.999923758638908
1.2110194146851614 6.999983113446913 6.999788614852356
1.2118801250012132 6.999977258490142 7.000011969704833
1.2127408353172653 6.999973424568965 6.999965231553682
1.2136015456333173 6.999974453562021 6.999862965686879
1.2144622559493692 6.999977637600532 7.000013803080407
1.2153229662654212 6.999976747401918 7.000459608516339
1.216183676581473 6.999967125048297 6.999991062923871
1.2170443868975251 6.999950651226467 7.000102037527817
1.2179050972135772 6.999940902790067 7.003232161359376
1.2187658075296293 6.999952909523467 7.00837922254383
1.2196265178456813 6.999987714572141 7.035866274863268
1.2204872281617332 6.999991436985866 7.017096652304563
1.2213479384777852 6.999982965608601 7.057108020271775
1.2222086487938373 6.999972123255294 7.000912842459692
1.2230693591098893 6.999965953011395 7.004342544546501
1.2239300694259412 6.999967279142812 6.999982195743795
1.2247907797419932 6.999974745759758 6.999953545875128
1.225651490058045 6.999984454918242 6.99998685821036
1.2265122003740971 6.999992200343812 6.999957183417818
1.2273729106901492 6.9999952797907286 6.999983112424863
1.2282336210062013 6.999993359938371 6.999987693462017
1.2290943313222533 6.999988214121005 6.999961727222671
1.2299550416383054 6.999982622920399 6.999976942454903
1.2308157519543572 6.999979082549325 6.999993302360554
1.2316764622704093 6.999978777640444 6.999972044077997
1.2325371725864613 6.999981033606937 6.999951885025564
1.2333978829025132 6.999983835324425 6.99996549246196
1.2342585932185652 6.999985063408532 6.999987146792025
1.235119303534617 6.999983328094961 6.999981016620037
1.2359800138506691 6.999978070857244 6.999953590593171
1.2368407241667212 6.9999718581918495 6.9999422535464495
1.2377014344827733 6.999964791443672 6.999962869119455
1.2385621447988253 6.999971233158332 6.999979582185661
1.2394228551148772 6.999978992112943 6.999963882673309
1.2402835654309292 6.999981124266603 6.999959066711396
1.2411442757469813 6.999981333805009 6.999968680505437
1.2420049860630333 6.999981933539065 6.999980964060761
