# t = 1
# W = 300
# L = 100
# xic = 1.1516471649044517
# plate_distance = 18.426354638471228
# E_dis = 0.015079644737231007
# E_img = 2.170803763674803
# omB0 = 0.37699111843077515
# iter_dis = 1
# Ncore = 5
arrE G0 GIMG
1.1309733552923253 5.999997475156135 5.9999962755575
1.1318340656083774 5.999996937482311 5.999996356197008
1.1326947759244295 5.999996264244132 5.999996621301024
1.1335554862404813 5.999995561595954 5.999997020514382
1.1344161965565334 5.999994925589531 5.9999974666009335
1.1352769068725854 5.999994431883985 5.999997849152774
1.1361376171886375 5.999994125188675 5.999998050671128
1.1369983275046895 5.999994007299196 5.999997962690936
1.1378590378207414 5.999994020505704 5.999997499240546
1.1387197481367934 5.99999402085316 5.999996604162392
1.1395804584528455 5.999993746548395 5.999995245667706
1.1404411687688973 5.999992863590951 5.999993375282428
1.1413018790849494 5.999991166248329 5.999990688006621
1.1421625894010015 5.9999911746800745 5.99999123093097
1.1430232997170533 5.999992287894826 5.999994949557033
1.1438840100331054 5.999992805142475 5.999996745954286
1.1447447203491574 5.9999933994937775 5.999997648896424
1.1456054306652095 5.999994122604243 5.999997971683711
1.1464661409812615 5.9999949181163235 5.999997912326131
1.1473268512973134 5.99999570103496 5.999997631896691
1.1481875616133654 5.999996384024563 5.999997267318395
1.1490482719294175 5.999996895788857 5.9999969293302975
1.1499089822454693 5.999997208478026 5.99999669769226
1.1507696925615214 5.999997337149767 5.99999661766557
1.1516304028775735 5.999997279950291 5.999996699282408
1.1524911131936253 5.999996999977816 5.999996919790859
1.1533518235096774 5.999996471668936 5.999997228977061
1.1542125338257294 5.999995722031243 5.999997556633516
1.1550732441417815 5.999994881296865 5.99999782109961
1.1559339544578335 5.999994206062565 5.999997937465747
1.1567946647738854 5.999993848317953 5.999997823560561
1.1576553750899374 5.99999364433063 5.999997400433319
1.1585160854059895 5.999993395696909 5.9999965789376
1.1593767957220413 5.999993002465338 5.999995197760793
1.1602375060380934 5.9999921429194805 5.999992597788052
1.1610982163541452 5.999993252464829 5.999992539146372
1.1619589266701973 5.999994484342334 5.9999947622547225
1.1628196369862493 5.999994351338403 5.99999600872052
1.1636803473023014 5.999994287138951 5.999996806905255
1.1645410576183535 5.999994431705485 5.999997300060077
1.1654017679344053 5.999994462177939 5.999997571462119
1.1662624782504574 5.999994887671345 5.999997688146679
1.1671231885665094 5.999995309321338 5.999997709065535
1.1679838988825615 5.999995930872148 5.999997684607298
1.1688446091986133 5.999996463023155 5.9999976539880056
1.1697053195146654 5.999996991868225 5.99999764277856
1.1705660298307172 6.000133473061771 5.999997661511245
1.1714267401467693 6.066979296035263 5.999997705695573
1.1722874504628213 6.466564500539964 5.999997757267491
1.1731481607788734 7.033976697558325 5.999997787221136
1.1740088710949255 6.994111782636089 5.999997758973527
1.1748695814109773 7.021812622176052 5.9999976317496895
1.1757302917270294 7.0235444148363735 5.999997362871538
